"brokered_by","price","bed","bath","acre_lot","street","city","state","house_size","price_per_sqft","price_per_acre","area_type"
103378,105000,3,2,0.12,1962661,"Adjuntas","Puerto Rico",920,114.13,875000,"urban"
52707,80000,4,2,0.08,1902874,"Adjuntas","Puerto Rico",1527,52.39,1e+06,"urban"
103379,67000,2,1,0.15,1404990,"Juana Diaz","Puerto Rico",748,89.57,446666.67,"urban"
31239,145000,4,2,0.1,1947675,"Ponce","Puerto Rico",1800,80.56,1450000,"urban"
103378,179000,4,3,0.46,1850806,"San Sebastian","Puerto Rico",2520,71.03,389130.43,"suburban"
1205,50000,3,1,0.2,1298094,"Ciales","Puerto Rico",2040,24.51,250000,"urban"
50739,71600,3,2,0.08,1048466,"Ponce","Puerto Rico",1050,68.19,895000,"urban"
81909,1e+05,2,1,0.09,734904,"Ponce","Puerto Rico",1092,91.58,1111111.11,"urban"
65672,3e+05,5,3,7.46,1946226,"Las Marias","Puerto Rico",5403,55.52,40214.48,"rural"
52707,89000,3,2,13.39,1902814,"Isabela","Puerto Rico",1106,80.47,6646.75,"rural"
52707,150000,3,2,0.08,1773902,"Juana Diaz","Puerto Rico",1045,143.54,1875000,"urban"
46019,155000,3,2,0.1,1946165,"Lares","Puerto Rico",4161,37.25,1550000,"urban"
52707,79000,5,2,0.12,1761024,"Utuado","Puerto Rico",1620,48.77,658333.33,"urban"
88441,649000,5,5,0.74,1879215,"Ponce","Puerto Rico",2677,242.44,877027.03,"suburban"
50739,120000,3,2,0.08,17854,"Yauco","Puerto Rico",1100,109.09,1500000,"urban"
51202,235000,4,4,0.22,13687,"Mayaguez","Puerto Rico",3450,68.12,1068181.82,"urban"
12876,105000,3,2,0.08,1868721,"Ponce","Puerto Rico",1500,70,1312500,"urban"
109906,575000,3,2,3.88,1312671,"San Sebastian","Puerto Rico",4000,143.75,148195.88,"rural"
46019,140000,6,3,0.25,6710,"Anasco","Puerto Rico",1230,113.82,560000,"urban"
52707,50000,2,1,0.23,1902835,"Yauco","Puerto Rico",621,80.52,217391.3,"urban"
52707,165000,6,3,0.1,117231,"Moca","Puerto Rico",3000,55,1650000,"urban"
81909,189000,3,1,2,1307740,"Coamo","Puerto Rico",1213,155.81,94500,"rural"
52707,115000,3,2,0.12,481889,"Ponce","Puerto Rico",1148,100.17,958333.33,"urban"
12434,122500,3,2,0.05,437877,"Yauco","Puerto Rico",1118,109.57,2450000,"urban"
52464,255000,3,2,0.28,1948621,"San Sebastian","Puerto Rico",1500,170,910714.29,"suburban"
81495,425000,4,3,0.3,955013,"Ponce","Puerto Rico",3000,141.67,1416666.67,"suburban"
87549,93000,4,2,0.11,1854860,"Guayanilla","Puerto Rico",1300,71.54,845454.55,"urban"
92147,75000,4,2,0.04,511838,"Manati","Puerto Rico",1080,69.44,1875000,"urban"
29915,469000,3,2,0.69,1857020,"Isabela","Puerto Rico",2505,187.23,679710.14,"suburban"
52707,189000,6,3,1.75,1902849,"Villalba","Puerto Rico",1943,97.27,108000,"rural"
52707,225000,5,4,0.12,1987398,"Ponce","Puerto Rico",1600,140.62,1875000,"urban"
67133,495000,4,2,3.08,1962660,"Santa Isabel","Puerto Rico",2886,171.52,160714.29,"rural"
86036,220000,1,1,0.1,523790,"Ponce","Puerto Rico",850,258.82,2200000,"urban"
52707,70500,3,1,0.23,1856955,"Yauco","Puerto Rico",936,75.32,306521.74,"urban"
3606,305000,3,2,1.13,1902855,"Moca","Puerto Rico",1928,158.2,269911.5,"rural"
109906,475000,4,4,4.84,1940314,"San Sebastian","Puerto Rico",3690,128.73,98140.5,"rural"
1502,195000,3,4,1.94,1856898,"Utuado","Puerto Rico",2500,78,100515.46,"rural"
109906,120000,4,2,0.24,1667467,"Las Marias","Puerto Rico",1800,66.67,5e+05,"urban"
52707,650000,9,7,0.46,1902746,"Mayaguez","Puerto Rico",3709,175.25,1413043.48,"suburban"
86036,555000,5,3,0.16,480944,"Ponce","Puerto Rico",3100,179.03,3468750,"urban"
52707,95000,3,2,0.1,1868667,"Aguada","Puerto Rico",600,158.33,950000,"urban"
87549,74000,3,1,0.09,1902824,"Aguada","Puerto Rico",900,82.22,822222.22,"urban"
108122,139500,4,2,0.15,397960,"Aguada","Puerto Rico",3000,46.5,930000,"urban"
72457,149900,1,1,0.26,1850822,"Aguada","Puerto Rico",2100,71.38,576538.46,"suburban"
15143,180000,2,2,0.24,1234696,"Aguada","Puerto Rico",1138,158.17,750000,"urban"
52707,249000,3,2,0.13,1902736,"Aguada","Puerto Rico",1380,180.43,1915384.62,"urban"
52707,252000,6,4,0.23,1902727,"Aguada","Puerto Rico",2500,100.8,1095652.17,"urban"
102017,160000,2,1,0.12,1842923,"Aguada","Puerto Rico",813,196.8,1333333.33,"urban"
49045,90000,2,1,0.07,1837494,"Aguada","Puerto Rico",813,110.7,1285714.29,"urban"
46019,5e+05,5,3,1.78,10282,"Aguada","Puerto Rico",2962,168.8,280898.88,"rural"
47983,339000,4,2,0.1,268641,"Aguada","Puerto Rico",1955,173.4,3390000,"urban"
89348,265000,3,2,0.08,1868699,"Aguada","Puerto Rico",1200,220.83,3312500,"urban"
47983,389000,3,4,2,1902739,"Aguada","Puerto Rico",1880,206.91,194500,"rural"
102017,575000,3,2,2.96,1962620,"Aguada","Puerto Rico",2500,230,194256.76,"rural"
102017,720000,3,3,0.12,1667516,"Aguada","Puerto Rico",2715,265.19,6e+06,"urban"
102017,375000,7,5,0.31,166250,"Aguada","Puerto Rico",2775,135.14,1209677.42,"suburban"
60830,6e+05,6,5,0.1,1946165,"Aguada","Puerto Rico",2400,250,6e+06,"urban"
47983,189000,2,1,0.12,1902894,"Aguada","Puerto Rico",951,198.74,1575000,"urban"
107152,215000,3,2,0.22,595559,"Aguadilla","Puerto Rico",2070,103.86,977272.73,"urban"
52707,63000,3,2,0.05,1856967,"Aguadilla","Puerto Rico",1184,53.21,1260000,"urban"
107152,215000,3,2,0.22,1268649,"Aguadilla","Puerto Rico",1900,113.16,977272.73,"urban"
48586,115000,3,1,0.2,1962563,"Aguadilla","Puerto Rico",980,117.35,575000,"urban"
52707,99000,4,2,0.89,1499349,"Aguadilla","Puerto Rico",1408,70.31,111235.96,"suburban"
102017,850000,5,5,0.62,792809,"Aguadilla","Puerto Rico",8460,100.47,1370967.74,"suburban"
92147,140000,3,2,0.11,1868702,"Aguadilla","Puerto Rico",1116,125.45,1272727.27,"urban"
1123,499000,4,3,0.26,117065,"Aguadilla","Puerto Rico",3734,133.64,1919230.77,"suburban"
87549,180000,3,2,0.17,846259,"Aguadilla","Puerto Rico",1500,120,1058823.53,"urban"
61710,225900,6,3,0.49,1946283,"Aguadilla","Puerto Rico",2618,86.29,461020.41,"suburban"
65672,260000,4,2,0.12,1136713,"Aguadilla","Puerto Rico",1760,147.73,2166666.67,"urban"
52707,5e+05,4,3,0.33,1902866,"Aguadilla","Puerto Rico",2950,169.49,1515151.52,"suburban"
103378,225000,3,2,0.21,1838380,"Aguada","Puerto Rico",1565,143.77,1071428.57,"urban"
60028,425000,4,2,0.95,1946165,"Aguadilla","Puerto Rico",3468,122.55,447368.42,"suburban"
34632,3e+05,4,2,10.76,1258490,"Aguadilla","Puerto Rico",547,548.45,27881.04,"rural"
107152,290000,3,2,0.15,117027,"Aguadilla","Puerto Rico",2280,127.19,1933333.33,"urban"
52707,550000,3,4,0.2,483647,"Aguadilla","Puerto Rico",4020,136.82,2750000,"urban"
72457,234900,6,2,0.18,1850808,"Aguadilla","Puerto Rico",2035,115.43,1305000,"urban"
107152,620000,5,3,0.52,119241,"Aguadilla","Puerto Rico",3267,189.78,1192307.69,"suburban"
72457,649900,8,3,0.19,1850840,"Aguadilla","Puerto Rico",3700,175.65,3420526.32,"urban"
103378,98000,5,2,4.55,1850836,"Maricao","Puerto Rico",2156,45.45,21538.46,"rural"
103378,55000,5,2,5.14,1857017,"Maricao","Puerto Rico",2156,25.51,10700.39,"rural"
52707,75000,5,2,4.86,1856895,"Maricao","Puerto Rico",1563,47.98,15432.1,"rural"
46475,80000,3,1,0.35,1897887,"Maricao","Puerto Rico",915,87.43,228571.43,"suburban"
52464,46900,3,1,0.12,1757054,"Mayaguez","Puerto Rico",982,47.76,390833.33,"urban"
102017,125000,8,5,0.09,436480,"Hormigueros","Puerto Rico",2000,62.5,1388888.89,"urban"
52707,95000,2,2,0.15,595722,"Guanica","Puerto Rico",1393,68.2,633333.33,"urban"
57043,330000,3,2,1.75,1902816,"Cabo Rojo","Puerto Rico",1620,203.7,188571.43,"rural"
60028,115000,3,2,0.09,1394934,"Mayaguez","Puerto Rico",1760,65.34,1277777.78,"urban"
31239,285000,2,1,4.74,575006,"Cabo Rojo","Puerto Rico",1000,285,60126.58,"rural"
52464,215000,7,4,0.11,1480314,"Mayaguez","Puerto Rico",2200,97.73,1954545.45,"urban"
61834,115000,3,2,0.12,962228,"Cabo Rojo","Puerto Rico",1205,95.44,958333.33,"urban"
87549,140000,3,2,0.14,757729,"Mayaguez","Puerto Rico",1200,116.67,1e+06,"urban"
52707,250000,4,2,0.08,1071244,"Cabo Rojo","Puerto Rico",3052,81.91,3125000,"urban"
52707,70000,3,1,0.08,387673,"San German","Puerto Rico",894,78.3,875000,"urban"
102017,190000,5,5,0.08,6946,"Mayaguez","Puerto Rico",1600,118.75,2375000,"urban"
87549,150000,3,1,0.07,598681,"San German","Puerto Rico",363,413.22,2142857.14,"urban"
60831,750000,12,6,0.52,1855338,"Cabo Rojo","Puerto Rico",4800,156.25,1442307.69,"suburban"
102017,950000,9,8,0.17,1854848,"Rincon","Puerto Rico",3852,246.63,5588235.29,"urban"
81495,495000,4,3,0.4,1446813,"Lajas","Puerto Rico",6500,76.15,1237500,"suburban"
87549,90000,3,1,0.19,950033,"Mayaguez","Puerto Rico",778,115.68,473684.21,"urban"
77433,395000,3,2,0.25,948184,"Cabo Rojo","Puerto Rico",2800,141.07,1580000,"urban"
18211,82000,1,1,0.12,1840559,"Mayaguez","Puerto Rico",471,174.1,683333.33,"urban"
47983,389000,2,2,0.12,593379,"Cabo Rojo","Puerto Rico",1356,286.87,3241666.67,"urban"
46019,149900,3,2,0.15,6713,"Anasco","Puerto Rico",1687,88.86,999333.33,"urban"
48230,106000,2,1,0.13,1966340,"Anasco","Puerto Rico",826,128.33,815384.62,"urban"
34632,165000,5,3,0.11,560745,"Anasco","Puerto Rico",2327,70.91,1500000,"urban"
46475,450000,4,7,0.76,1793737,"Isabela","Puerto Rico",4000,112.5,592105.26,"suburban"
96048,485000,4,3,0.21,1446871,"Isabela","Puerto Rico",3066,158.19,2309523.81,"urban"
18211,975000,6,4,16,1913925,"Isabela","Puerto Rico",3739,260.76,60937.5,"rural"
47983,950000,4,2,0.49,6927,"Rincon","Puerto Rico",2450,387.76,1938775.51,"suburban"
47983,349000,3,2,0.12,1966335,"Rincon","Puerto Rico",1688,206.75,2908333.33,"urban"
72457,39900,3,1,0.12,1862028,"Arecibo","Puerto Rico",878,45.44,332500,"urban"
72457,29900,3,1,0.12,1862027,"Arecibo","Puerto Rico",878,34.05,249166.67,"urban"
60830,475000,1,3,0.13,1427607,"Arecibo","Puerto Rico",10000,47.5,3653846.15,"urban"
60831,2e+05,4,3,0.24,1946165,"Arecibo","Puerto Rico",3413,58.6,833333.33,"urban"
52707,148000,5,2,0.49,1902831,"Arecibo","Puerto Rico",2058,71.91,302040.82,"suburban"
49592,39500,1,1,0.14,1946165,"Arecibo","Puerto Rico",800,49.38,282142.86,"urban"
33888,220000,6,3,0.45,1856978,"Arecibo","Puerto Rico",2900,75.86,488888.89,"suburban"
52707,75000,3,2,0.27,1856974,"Arecibo","Puerto Rico",1100,68.18,277777.78,"suburban"
60830,110000,4,2,0.13,1856516,"Arecibo","Puerto Rico",1000,110,846153.85,"urban"
60831,150000,7,4,0.49,1946210,"Arecibo","Puerto Rico",800,187.5,306122.45,"suburban"
52707,79000,6,3,0.09,1855343,"Arecibo","Puerto Rico",2472,31.96,877777.78,"urban"
52707,65000,3,1,0.09,1856972,"Arecibo","Puerto Rico",1044,62.26,722222.22,"urban"
60830,179000,5,3,0.08,1855451,"Arecibo","Puerto Rico",2200,81.36,2237500,"urban"
62210,145000,3,2,0.86,1427895,"Arecibo","Puerto Rico",3500,41.43,168604.65,"suburban"
1589,79000,3,1,0.13,821104,"Arecibo","Puerto Rico",1262,62.6,607692.31,"urban"
80224,360000,5,2,0.42,1567105,"Arecibo","Puerto Rico",6000,60,857142.86,"suburban"
92147,94600,3,1,0.08,1992381,"Arecibo","Puerto Rico",1009,93.76,1182500,"urban"
1589,239000,7,3,0.31,1551669,"Arecibo","Puerto Rico",2715,88.03,770967.74,"suburban"
